INFO 2021-06-08 09:11:25,230 autoreload 636 Watching for file changes with StatReloader
INFO 2021-06-08 09:13:36,056 autoreload 636 Watching for file changes with StatReloader
WARNING 2021-06-08 09:24:32,038 log 230 Not Found: /
WARNING 2021-06-08 09:24:32,040 basehttp 161 "GET / HTTP/1.1" 404 2275
WARNING 2021-06-08 09:24:32,209 log 230 Not Found: /favicon.ico
WARNING 2021-06-08 09:24:32,211 basehttp 161 "GET /favicon.ico HTTP/1.1" 404 2326
INFO 2021-06-08 09:24:35,824 basehttp 161 "GET /admin HTTP/1.1" 301 0
INFO 2021-06-08 09:24:35,874 basehttp 161 "GET /admin/ HTTP/1.1" 302 0
INFO 2021-06-08 09:24:36,065 basehttp 161 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 2216
INFO 2021-06-08 09:24:36,199 basehttp 161 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2271
INFO 2021-06-08 09:24:36,209 basehttp 161 "GET /static/admin/css/base.css HTTP/1.1" 200 19513
INFO 2021-06-08 09:24:36,215 basehttp 161 "GET /static/admin/css/responsive.css HTTP/1.1" 200 18545
INFO 2021-06-08 09:24:36,218 basehttp 161 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 1360
INFO 2021-06-08 09:24:36,218 basehttp 161 "GET /static/admin/css/login.css HTTP/1.1" 200 939
INFO 2021-06-08 09:24:36,284 basehttp 161 "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
INFO 2021-06-08 09:24:36,315 basehttp 161 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 85692
INFO 2021-06-08 09:24:36,318 basehttp 161 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 85876
WARNING 2021-06-08 09:24:36,348 log 230 Not Found: /favicon.ico
WARNING 2021-06-08 09:24:36,349 basehttp 161 "GET /favicon.ico HTTP/1.1" 404 2326
INFO 2021-06-08 09:24:40,899 basehttp 161 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 2348
INFO 2021-06-08 09:24:41,081 basehttp 161 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 86184
WARNING 2021-06-08 09:24:41,106 log 230 Not Found: /favicon.ico
WARNING 2021-06-08 09:24:41,107 basehttp 161 "GET /favicon.ico HTTP/1.1" 404 2326
INFO 2021-06-08 09:24:48,452 basehttp 161 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 2348
INFO 2021-06-08 09:25:26,267 basehttp 161 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2021-06-08 09:25:26,357 basehttp 161 "GET /admin/ HTTP/1.1" 200 6667
INFO 2021-06-08 09:25:26,554 basehttp 161 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 380
INFO 2021-06-08 09:25:26,581 basehttp 161 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2021-06-08 09:25:26,586 basehttp 161 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
WARNING 2021-06-08 09:25:27,440 log 230 Not Found: /favicon.ico
WARNING 2021-06-08 09:25:27,440 basehttp 161 "GET /favicon.ico HTTP/1.1" 404 2326
INFO 2021-06-08 09:25:32,833 basehttp 161 "GET /admin/ HTTP/1.1" 200 6667
INFO 2021-06-08 09:25:32,981 basehttp 161 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2021-06-08 09:26:03,753 basehttp 161 "GET /admin/ HTTP/1.1" 302 0
INFO 2021-06-08 09:26:03,816 basehttp 161 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 2216
INFO 2021-06-08 09:26:03,885 basehttp 161 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2271
INFO 2021-06-08 09:26:03,886 basehttp 161 "GET /static/admin/css/base.css HTTP/1.1" 200 19513
INFO 2021-06-08 09:26:03,896 basehttp 161 "GET /static/admin/css/login.css HTTP/1.1" 200 939
